NCU-259,NCU-260,NCU-267,NCU-268,NCU-280,NCU-281,NCU-286,NCU-287,NCU-552,NCU-559,NCU-564,NCU-1353,NCU-1355,NCU-1357,NCU-1359
832,969,1198,476,0,884,925,728,724,764,845,280,415,998,1075
816,843,1290,457,0,864,874,795,617,801,825,410,343,946,1027
770,853,1373,533,0,859,902,846,652,783,972,407,324,1097,1084
780,827,1355,614,0,952,813,711,671,784,909,387,309,1078,1086
795,802,1396,654,0,1024,773,795,680,896,932,462,359,1077,1101
666,763,1372,676,0,1024,506,863,605,858,663,510,415,1046,1049
684,719,1316,616,0,1030,884,823,574,720,971,524,442,1032,1006
826,736,1323,579,0,1009,480,841,595,609,1043,524,431,1024,972
810,724,1328,578,0,979,838,721,622,552,1031,523,372,994,968
748,686,1284,540,0,923,800,885,343,489,1035,536,358,957,890
683,591,1270,511,0,875,763,890,460,493,989,558,306,906,858
630,649,1263,496,0,907,769,915,288,410,1006,555,313,918,832
647,623,954,477,0,898,784,928,323,300,1034,557,376,926,809
672,693,1280,465,0,887,766,937,475,384,1168,547,336,828,803
720,662,1209,471,0,862,728,915,469,338,1250,570,321,851,757
775,761,1197,467,0,826,684,864,414,359,1219,469,310,793,706
854,856,1261,424,0,865,707,905,404,464,1171,418,347,824,698
723,874,1250,662,0,864,713,901,370,522,1078,405,389,815,713
683,835,1259,606,0,873,743,922,456,514,1028,414,383,808,738
426,926,1241,636,0,877,738,910,398,509,994,352,357,789,734
363,807,923,426,0,822,603,952,420,412,747,334,340,634,598
656,838,971,493,0,928,650,924,425,380,775,311,323,639,643
806,798,946,598,0,850,620,954,591,301,848,321,336,700,614
979,877,1028,672,0,889,663,923,671,413,839,348,391,781,669
948,882,1031,724,0,883,2221,890,681,402,816,395,433,771,679
817,799,1011,609,0,887,810,790,726,608,898,706,594,796,794
810,797,988,594,0,890,808,801,741,611,913,714,606,814,771
805,797,1010,598,0,895,415,805,735,269,912,714,599,748,792
808,797,1015,608,0,902,0,809,743,613,913,720,609,720,797
801,801,1018,606,0,904,0,807,746,617,918,721,609,807,803
792,781,988,553,0,884,391,781,817,669,900,686,592,787,783
816,810,985,604,0,902,817,812,750,614,918,683,608,816,809
823,807,1023,607,0,904,809,815,740,538,859,680,612,823,810
855,840,1062,636,0,941,836,852,775,652,815,636,634,858,839
717,875,1107,661,0,975,838,882,814,673,991,682,516,608,859
863,883,1101,664,0,971,879,883,811,673,994,749,641,884,859
859,636,1060,555,0,856,856,853,781,655,965,646,642,848,596
706,472,1004,591,0,879,803,799,732,609,898,692,596,792,785
785,764,982,591,0,856,788,776,721,627,883,687,586,774,710
810,799,1004,603,0,888,799,798,732,677,907,707,601,803,717
781,790,990,599,0,879,795,795,720,672,897,698,594,804,773
821,801,1030,615,0,900,812,812,747,688,922,621,600,819,809
804,797,697,598,0,884,792,792,729,675,903,661,599,774,787
819,807,765,614,0,891,813,813,747,689,922,705,610,795,803
811,797,782,602,0,874,799,807,740,680,909,700,597,777,800
779,766,756,2621,0,861,769,770,710,654,881,673,581,775,770
828,809,790,609,0,911,814,814,753,691,924,711,612,851,804
745,787,777,555,0,891,796,795,734,675,905,696,600,808,768
711,771,750,541,0,808,771,766,710,654,874,673,580,774,701
797,778,764,569,0,871,787,783,725,666,893,670,586,792,769
760,753,737,556,0,819,758,757,695,639,854,655,569,763,742
810,794,785,600,0,822,793,803,736,679,901,696,599,803,794
