WELL_N-0258,WELL_N-0269,WELL_N-0279,WELL_N-0288,WELL_N-0546,WELL_N-0547,WELL_N-0553A,WELL_N-0554,WELL_N-0557,WELL_N-0558,WELL_N-0565,WELL_N-0566,WELL_N-0569,WELL_N-0570,WELL_N-1100,WELL_N-1101,WELL_N-1101R,WELL_N-1103,WELL_N-1352,WELL_N-1354,WELL_N-1356,WELL_N-1358,WELL_N-1360,WELL_N-1395,WELL_N-1396,WELL_N-1410,WELL_N-1411,WELL_N-1506,WELL_N-1508,WELL_N-1512,WELL_N-1513,WELL_N-1515,WELL_N-1549
43,50,35,47,14,14,22,17,9,43,39,9,7,32,18,24,0,0,11,11,10,12,13,12,19,43,13,141,55,0,8,62,0
41,50,36,43,12,14,22,14,10,41,37,14,10,28,18,18,0,0,13,12,10,10,9,14,23,34,17,137,52,0,1,61,0
44,43,33,43,14,13,23,13,11,42,35,15,8,30,19,16,0,0,9,12,10,12,10,11,21,38,14,130,52,33,16,60,0
40,38,34,0,14,13,20,19,11,43,33,11,8,30,19,18,0,0,10,14,11,12,11,11,21,33,15,127,52,24,133,62,0
66,37,31,37,93,13,16,6,9,42,36,9,8,28,20,18,0,0,9,9,11,7,15,9,21,28,20,134,52,29,1,52,0
38,44,36,65,49,48,0,40,8,43,35,9,6,28,20,19,0,0,30,39,12,8,16,12,86,34,14,466,187,27,0,173,0
27,30,25,50,17,58,0,54,4,33,23,7,4,20,14,13,0,0,34,44,8,6,11,6,44,26,10,465,208,98,2,173,0
29,34,30,58,41,47,0,43,4,41,26,6,5,22,17,15,0,0,35,38,8,3,11,8,13,28,13,369,199,132,3,54,105
29,31,28,52,71,43,0,39,5,41,28,9,6,25,19,13,0,0,34,43,9,9,12,7,13,22,9,368,219,157,8,85,64
30,29,27,51,59,35,0,45,6,39,27,13,7,23,12,15,0,0,37,39,7,10,10,8,11,23,9,368,177,164,13,201,50
30,29,28,51,67,31,0,48,5,39,28,11,7,23,12,15,0,0,30,41,7,9,12,7,15,20,9,350,151,132,3,386,52
36,36,32,56,35,37,0,39,8,48,35,18,8,26,13,19,0,0,50,30,9,10,13,9,18,27,11,341,129,87,1,328,53
38,37,31,54,37,32,0,43,6,50,33,18,8,23,16,16,0,0,49,27,9,13,14,10,19,24,10,311,121,128,1,282,56
38,35,29,51,36,23,23,48,8,44,32,22,7,22,18,14,0,0,45,27,10,14,12,8,14,20,9,320,138,141,1,288,60
29,27,23,41,48,47,74,63,8,34,23,14,6,16,13,11,0,0,54,42,9,8,11,7,11,19,8,435,159,178,0,502,50
33,35,32,55,38,35,44,51,12,43,31,19,7,20,17,15,0,0,36,38,13,11,12,9,16,19,9,290,140,104,0,268,50
38,35,32,57,39,32,50,40,8,42,31,15,7,20,16,15,0,0,33,37,10,9,8,9,15,19,9,281,134,49,0,256,56
39,38,31,56,49,35,38,42,9,41,34,16,7,19,16,15,0,0,33,31,10,12,9,9,16,0,10,274,134,50,0,233,143
34,34,32,53,44,39,54,53,8,37,30,15,6,17,13,12,0,0,44,42,8,10,8,8,11,16,10,374,136,55,0,294,208
38,34,33,56,15,11,14,15,9,38,29,15,6,20,11,14,0,0,15,12,10,11,8,8,11,22,11,103,50,13,0,85,101
39,30,31,53,12,8,11,11,8,36,27,15,5,17,10,13,0,0,11,8,7,8,7,7,10,18,9,84,38,11,0,69,94
39,32,27,52,10,8,11,9,8,36,26,16,5,16,9,16,0,0,9,10,9,8,6,9,11,16,11,76,35,14,0,65,95
40,37,34,60,9,7,11,9,12,37,27,17,6,21,10,16,0,0,6,7,11,10,6,10,14,19,11,62,29,18,0,60,88
35,32,28,52,9,9,11,13,8,31,25,14,7,15,9,15,0,0,5,9,9,10,6,7,12,16,10,71,35,19,0,70,75
38,22,30,50,20,9,8,12,9,38,26,14,6,17,10,13,0,0,5,10,10,10,6,8,12,16,11,74,42,18,0,72,73
38,19,29,48,12,8,8,13,18,37,24,14,7,16,9,19,0,0,4,9,10,10,5,8,9,18,9,67,51,13,0,70,76
41,20,28,50,13,9,8,10,5,34,25,14,8,16,10,19,0,0,4,10,10,9,5,7,11,16,8,69,49,12,0,71,78
39,19,28,48,13,9,7,11,5,30,23,14,7,18,9,17,0,0,4,10,9,11,7,7,10,14,9,65,46,13,0,70,76
37,22,29,54,19,8,9,10,5,28,22,13,6,17,9,20,0,0,7,9,10,12,7,8,13,13,10,55,37,19,0,57,72
37,30,27,53,13,8,14,9,4,26,22,11,6,15,9,15,0,0,9,10,10,13,6,6,10,11,9,63,45,21,0,67,73
36,31,24,48,8,10,14,9,5,24,24,11,6,15,9,16,0,0,8,11,11,12,7,6,10,11,9,64,48,23,0,71,76
38,24,22,41,14,14,19,13,4,19,23,9,5,12,11,15,0,0,11,13,7,11,8,6,12,10,7,47,57,17,0,49,83
48,29,26,50,10,8,14,9,6,23,31,12,7,13,9,17,0,0,6,10,13,11,12,6,16,16,8,127,39,23,0,63,61
9,31,24,52,11,8,13,8,6,22,32,13,7,15,8,20,0,0,6,10,12,12,10,7,13,14,9,67,36,18,0,64,60
46,31,23,49,12,7,12,7,6,19,33,11,8,16,7,22,0,0,6,8,13,11,10,18,12,14,8,66,33,10,0,60,56
32,27,21,47,16,9,15,10,5,18,29,12,6,16,8,18,0,0,8,6,12,13,7,33,11,12,8,61,37,9,0,54,53
